what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.200.v201304241450,"org.eclipse.wst.common.frameworks",1532040058112
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030423,"org.eclipse.wst.common.project.facet.core",1532040058113
started,bundle,org.eclipse.wst.web,1.1.800.v201312041437,"org.eclipse.wst.web",1532040058115
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1532040058116
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1532040058117
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1532040058119
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1532040058120
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1532040058121
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1532040058124
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1532040058143
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1532040058144
os,sysinfo,,,"win32",1532040058155
arch,sysinfo,,,"x86_64",1532040058155
ws,sysinfo,,,"win32",1532040058155
locale,sysinfo,,,"pt_BR",1532040058155
processors,sysinfo,,,"4",1532040058155
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1532040058155
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1532040058155
java.specification.name,sysinfo,,,"Java Platform API Specification",1532040058155
java.specification.vendor,sysinfo,,,"Oracle Corporation",1532040058155
java.specification.version,sysinfo,,,"1.8",1532040058155
java.vendor,sysinfo,,,"Oracle Corporation",1532040058155
java.version,sysinfo,,,"1.8.0_102",1532040058155
java.vm.info,sysinfo,,,"mixed mode",1532040058155
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1532040058155
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1532040058155
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1532040058155
java.vm.specification.version,sysinfo,,,"1.8",1532040058155
java.vm.vendor,sysinfo,,,"Oracle Corporation",1532040058155
java.vm.version,sysinfo,,,"25.102-b14",1532040058155
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1532040058166
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1532040070770
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1532040077886
started,bundle,org.eclipse.m2e.importer,1.7.0.20160603-1933,"org.eclipse.m2e.importer",1532040093312
started,bundle,org.eclipse.m2e.core,1.7.0.20160603-1933,"org.eclipse.m2e.core",1532040108132
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1532040110711
executed,command,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.e4.ui.importer.openDirectory",1532040110738
activated,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1532040114612
started,bundle,org.eclipse.mylyn.tasks.index.core,3.21.0.v20160630-2019,"org.eclipse.mylyn.tasks.index.core",1532040115822
started,bundle,org.eclipse.search,3.11.1.v20161113-1700,"org.eclipse.search",1532040116074
opened,view,org.eclipse.mylyn.tasks.ui,3.21.0.v20160913-2131,"org.eclipse.mylyn.tasks.ui.views.tasks",1532040116587
